Date,State,Population,DiabetesRate,ObesityRate,InactivityRate,HypertensionRate
1979/01/01,Florida,19107474,11.11,26,28.59,31.87
1978/01/01,Florida,18975703,11.04,25.82,28.39,31.65
1977/01/01,Florida,18819576,10.95,25.61,28.15,31.39
1976/01/01,Florida,18815416,10.94,25.6,28.15,31.38
1975/01/01,Florida,18993890,11.05,25.84,28.42,31.68
1974/01/01,Florida,18947696,11.02,25.78,28.35,31.6
1973/01/01,Florida,18831691,10.95,25.62,28.18,31.41
1972/01/01,Florida,19004952,11.05,25.86,28.43,31.7
1971/01/01,Florida,18912703,11,25.73,28.3,31.54
2016/01/01,Georgia,10310371,12.1,31.4,29.4,36.2
2015/01/01,Georgia,10199398,12.01,31.17,29.19,35.94
2014/01/01,Georgia,10087231,11.92,30.95,28.98,35.68
2013/01/01,Georgia,9984938,11.83,30.73,28.77,35.42
2012/01/01,Georgia,9914668,11.74,30.51,28.56,35.16
2011/01/01,Georgia,9811610,11.66,30.29,28.35,34.91
2010/01/01,Georgia,9713521,11.58,30.07,28.15,34.66
2009/01/01,Georgia,9973096,11.5,29.85,27.95,34.41
2008/01/01,Georgia,9953928,11.75,30.51,28.56,35.17
2007/01/01,Georgia,9855377,11.64,30.22,28.29,34.83
2006/01/01,Georgia,9920349,11.71,30.41,28.47,35.06
2005/01/01,Georgia,9908127,11.69,30.36,28.42,34.99
2004/01/01,Georgia,9799535,11.56,30.01,28.09,34.59
2003/01/01,Georgia,9790911,11.53,29.95,28.04,34.52
2002/01/01,Georgia,9870086,11.61,30.14,28.21,34.74
2001/01/01,Georgia,9874149,11.64,30.24,28.31,34.85
2000/01/01,Georgia,9861763,12,30,28,35
1999/01/01,Georgia,9791678,11.6,29.95,28.02,34.58
1998/01/01,Georgia,9756693,11.56,29.83,27.91,34.45
1997/01/01,Georgia,9858006,11.69,30.13,28.19,34.81
1996/01/01,Georgia,9857545,11.7,30.12,28.18,34.81
1995/01/01,Georgia,9827738,11.67,30.03,28.09,34.71
1994/01/01,Georgia,9817762,11.68,30,28.06,34.69
1993/01/01,Georgia,9825437,11.7,30.01,28.07,34.72
1992/01/01,Georgia,9791772,12,30,28,35
1991/01/01,Georgia,9794731,11.69,29.94,28,34.65
1990/01/01,Georgia,9739238,11.63,29.77,27.84,34.47
1989/01/01,Georgia,9787150,11.7,29.92,27.98,34.65
1988/01/01,Georgia,9773195,11.69,29.88,27.94,34.61
1987/01/01,Georgia,9738990,11.67,29.78,27.84,34.5
1986/01/01,Georgia,9807003,11.76,29.99,28.03,34.76
1985/01/01,Georgia,9773078,11.73,29.89,27.94,34.65
1984/01/01,Georgia,9701018,11.61,29.66,27.73,34.36
1983/01/01,Georgia,9744337,11.67,29.79,27.86,34.52
1982/01/01,Georgia,9715782,11.64,29.71,27.77,34.42
1981/01/01,Georgia,9691008,11.61,29.63,27.7,34.33
1980/01/01,Georgia,9735824,11.67,29.77,27.83,34.5
1979/01/01,Georgia,9771403,11.71,29.88,27.93,34.62
1978/01/01,Georgia,9704008,11.63,29.67,27.74,34.38
1977/01/01,Georgia,9624162,11.53,29.43,27.51,34.1
1976/01/01,Georgia,9622036,11.53,29.42,27.5,34.09
1975/01/01,Georgia,9713309,11.64,29.7,27.76,34.41
1974/01/01,Georgia,9689688,11.61,29.63,27.7,34.33
1973/01/01,Georgia,9630364,11.54,29.45,27.53,34.12
1972/01/01,Georgia,9718966,11.65,29.72,27.78,34.43
1971/01/01,Georgia,9671790,11.59,29.57,27.65,34.27
2016/01/01,Hawaii,1428557,10.5,23.8,20.8,32
2015/01/01,Hawaii,1425157,10.42,23.63,20.65,31.77
2014/01/01,Hawaii,1416349,10.34,23.46,20.5,31.54
2013/01/01,Hawaii,1406481,10.27,23.29,20.35,31.31
2012/01/01,Hawaii,1391820,10.2,23.12,20.2,31.08
2011/01/01,Hawaii,1377864,10.13,22.95,20.05,30.86
2010/01/01,Hawaii,1363945,10.06,22.78,19.91,30.64
2009/01/01,Hawaii,1397249,9.99,22.62,19.77,30.42
2008/01/01,Hawaii,1396841,10.2,23.12,20.2,31.09
2007/01/01,Hawaii,1383881,10.1,22.9,20.01,30.79
2006/01/01,Hawaii,1393017,10.17,23.05,20.14,30.99
2005/01/01,Hawaii,1390672,10.15,23.01,20.1,30.93
2004/01/01,Hawaii,1375397,10.04,22.74,19.87,30.58
2003/01/01,Hawaii,1374078,10.02,22.69,19.83,30.52
2002/01/01,Hawaii,1385085,10.08,22.84,19.96,30.71
2001/01/01,Hawaii,1385983,10.11,22.91,20.02,30.81
2000/01/01,Hawaii,1384293,10,23,20,31
1999/01/01,Hawaii,1374386,10.01,22.73,19.85,30.58
1998/01/01,Hawaii,1369395,9.97,22.65,19.77,30.47
1997/01/01,Hawaii,1383612,10.07,22.88,19.98,30.78
1996/01/01,Hawaii,1383548,10.07,22.88,19.97,30.78
1995/01/01,Hawaii,1379381,10.03,22.82,19.91,30.7
1994/01/01,Hawaii,1378015,10.02,22.8,19.9,30.69
1993/01/01,Hawaii,1379085,10.03,22.83,19.91,30.72
1992/01/01,Hawaii,1374344,10,23,20,31
1991/01/01,Hawaii,1374752,10,22.78,19.87,30.66
1990/01/01,Hawaii,1366965,9.94,22.66,19.76,30.49
1989/01/01,Hawaii,1373693,9.99,22.78,19.86,30.66
1988/01/01,Hawaii,1371738,9.98,22.75,19.84,30.63
1987/01/01,Hawaii,1366939,9.94,22.68,19.77,30.53
1986/01/01,Hawaii,1376483,10.01,22.85,19.92,30.76
1985/01/01,Hawaii,1371719,9.98,22.78,19.85,30.67
1984/01/01,Hawaii,1361605,9.9,22.59,19.69,30.4
1983/01/01,Hawaii,1367686,9.95,22.69,19.78,30.54
1982/01/01,Hawaii,1363679,9.92,22.63,19.72,30.46
1981/01/01,Hawaii,1360202,9.89,22.57,19.67,30.38
1980/01/01,Hawaii,1366492,9.94,22.68,19.77,30.53
1979/01/01,Hawaii,1371485,9.98,22.76,19.84,30.64
1978/01/01,Hawaii,1362026,9.91,22.6,19.7,30.43
1977/01/01,Hawaii,1350819,9.83,22.41,19.54,30.17
1976/01/01,Hawaii,1350521,9.82,22.41,19.53,30.17
1975/01/01,Hawaii,1363332,9.92,22.62,19.72,30.45
1974/01/01,Hawaii,1360016,9.89,22.57,19.67,30.38
1973/01/01,Hawaii,1351690,9.83,22.43,19.55,30.2
1972/01/01,Hawaii,1364126,9.92,22.64,19.73,30.47
1971/01/01,Hawaii,1357504,9.87,22.53,19.63,30.32
2016/01/01,Idaho,1683140,8.9,27.4,20.2,31.2
2015/01/01,Idaho,1652828,8.84,27.2,20.05,30.98
2014/01/01,Idaho,1633532,8.78,27,19.91,30.76
2013/01/01,Idaho,1612011,8.72,26.81,19.77,30.54
2012/01/01,Idaho,1595911,8.66,26.62,19.63,30.32
2011/01/01,Idaho,1584143,8.6,26.43,19.49,30.1
2010/01/01,Idaho,1571010,8.54,26.24,19.35,29.88
2009/01/01,Idaho,1614082,8.48,26.05,19.21,29.66
2008/01/01,Idaho,1608913,8.66,26.62,19.63,30.32
2007/01/01,Idaho,1592382,8.58,26.37,19.44,30.03
2006/01/01,Idaho,1602351,8.63,26.54,19.57,30.22
2005/01/01,Idaho,1600488,8.62,26.49,19.53,30.17
2004/01/01,Idaho,1583745,8.52,26.19,19.31,29.82
2003/01/01,Idaho,1582572,8.5,26.13,19.27,29.76
2002/01/01,Idaho,1595234,8.56,26.3,19.39,29.95
2001/01/01,Idaho,1595576,8.58,26.39,19.45,30.05
2000/01/01,Idaho,1593511,9,26,19,30
1999/01/01,Idaho,1582200,8.57,26.11,19.22,29.79
1998/01/01,Idaho,1576638,8.55,26,19.14,29.67
1997/01/01,Idaho,1593099,8.64,26.26,19.33,29.98
1996/01/01,Idaho,1593011,8.65,26.25,19.31,29.97
1995/01/01,Idaho,1588147,8.64,26.16,19.24,29.88
1994/01/01,Idaho,1586500,8.65,26.13,19.21,29.86
1993/01/01,Idaho,1587745,8.67,26.13,19.21,29.88
1992/01/01,Idaho,1582320,9,26,19,30
1991/01/01,Idaho,1582813,8.66,26.07,19.16,29.82
1990/01/01,Idaho,1573849,8.63,25.92,19.04,29.65
1989/01/01,Idaho,1581584,8.68,26.04,19.13,29.8
1988/01/01,Idaho,1579322,8.68,26,19.09,29.77
1987/01/01,Idaho,1573793,8.66,25.91,19.02,29.67
1986/01/01,Idaho,1584786,8.74,26.09,19.15,29.88
1985/01/01,Idaho,1579307,8.72,26,19.08,29.79
1984/01/01,Idaho,1567663,8.62,25.81,18.95,29.55
1983/01/01,Idaho,1574663,8.66,25.93,19.04,29.68
1982/01/01,Idaho,1570047,8.64,25.85,18.98,29.6
1981/01/01,Idaho,1566043,8.62,25.78,18.93,29.52
1980/01/01,Idaho,1573285,8.66,25.9,19.02,29.66
1979/01/01,Idaho,1579035,8.7,26,19.09,29.77
1978/01/01,Idaho,1568145,8.63,25.82,18.96,29.56
1977/01/01,Idaho,1555242,8.56,25.61,18.8,29.32
1976/01/01,Idaho,1554898,8.56,25.6,18.8,29.31
1975/01/01,Idaho,1569647,8.64,25.84,18.98,29.59
1974/01/01,Idaho,1565830,8.62,25.78,18.93,29.52
1973/01/01,Idaho,1556244,8.57,25.62,18.81,29.34
1972/01/01,Idaho,1570562,8.65,25.86,18.99,29.61
1971/01/01,Idaho,1562938,8.6,25.73,18.9,29.46
2016/01/01,Illinois,12801539,10.4,31.6,23.9,30.8
2015/01/01,Illinois,12839047,10.33,31.37,23.73,30.58
2014/01/01,Illinois,12867544,10.26,31.14,23.56,30.36
2013/01/01,Illinois,12879505,10.19,30.92,23.39,30.14
2012/01/01,Illinois,12870798,10.12,30.7,23.22,29.92
2011/01/01,Illinois,12860012,10.05,30.48,23.05,29.7
2010/01/01,Illinois,12841578,9.98,30.26,22.88,29.49
2009/01/01,Illinois,12812878,9.91,30.04,22.72,29.28
2008/01/01,Illinois,12851766,10.12,30.7,23.22,29.92
2007/01/01,Illinois,12771312,10.02,30.41,23,29.64
2006/01/01,Illinois,12884781,10.09,30.61,23.15,29.83
2005/01/01,Illinois,12881685,10.07,30.55,23.11,29.77
2004/01/01,Illinois,12743252,9.96,30.2,22.84,29.43
2003/01/01,Illinois,12717723,9.94,30.14,22.79,29.37
2002/01/01,Illinois,12788562,10,30.33,22.94,29.56
2001/01/01,Illinois,12809425,10.03,30.43,23.01,29.65
2000/01/01,Illinois,12802094,10,30,23,30
1999/01/01,Illinois,12714304,9.94,30.11,22.82,29.45
1998/01/01,Illinois,12668396,9.9,29.99,22.73,29.35
1997/01/01,Illinois,12797555,10.01,30.29,22.96,29.66
1996/01/01,Illinois,12793860,10,30.27,22.96,29.66
1995/01/01,Illinois,12753698,9.97,30.17,22.89,29.59
1994/01/01,Illinois,12743618,9.96,30.13,22.88,29.58
1993/01/01,Illinois,12754636,9.97,30.14,22.89,29.62
1992/01/01,Illinois,12710891,10,30,23,29
1991/01/01,Illinois,12714228,9.95,30.07,22.84,29.42
1990/01/01,Illinois,12641693,9.89,29.89,22.72,29.25
1989/01/01,Illinois,12703641,9.94,30.03,22.83,29.38
1988/01/01,Illinois,12685693,9.93,29.99,22.81,29.33
1987/01/01,Illinois,12641691,9.9,29.88,22.73,29.22
1986/01/01,Illinois,12730021,9.97,30.09,22.9,29.4
1985/01/01,Illinois,12685887,9.94,29.98,22.83,29.28
1984/01/01,Illinois,12592245,9.86,29.77,22.64,29.11
1983/01/01,Illinois,12648426,9.9,29.9,22.74,29.23
1982/01/01,Illinois,12611377,9.87,29.81,22.68,29.14
1981/01/01,Illinois,12579273,9.85,29.73,22.62,29.07
1980/01/01,Illinois,12637482,9.9,29.87,22.73,29.2
1979/01/01,Illinois,12683651,9.93,29.98,22.81,29.3
1978/01/01,Illinois,12596147,9.86,29.77,22.65,29.1
1977/01/01,Illinois,12492492,9.78,29.53,22.46,28.87
1976/01/01,Illinois,12489733,9.78,29.52,22.46,28.86
1975/01/01,Illinois,12608218,9.87,29.8,22.67,29.13
1974/01/01,Illinois,12577565,9.85,29.73,22.62,29.06
1973/01/01,Illinois,12500561,9.79,29.55,22.48,28.88
1972/01/01,Illinois,12615565,9.88,29.82,22.69,29.15
1971/01/01,Illinois,12554326,9.83,29.67,22.58,29.01
2016/01/01,Indiana,6633053,11.5,32.5,26.8,32.4
2015/01/01,Indiana,6612768,11.42,32.27,26.61,32.17
2014/01/01,Indiana,6595233,11.34,32.04,26.42,31.94
2013/01/01,Indiana,6569102,11.26,31.81,26.23,31.71
2012/01/01,Indiana,6537743,11.18,31.58,26.04,31.48
2011/01/01,Indiana,6516480,11.1,31.35,25.85,31.25
2010/01/01,Indiana,6490528,11.02,31.12,25.66,31.03
2009/01/01,Indiana,6545292,10.94,30.9,25.48,30.81
2008/01/01,Indiana,6551794,11.18,31.58,26.04,31.48
2007/01/01,Indiana,6501205,11.07,31.28,25.79,31.18
2006/01/01,Indiana,6552509,11.14,31.48,25.96,31.38
2005/01/01,Indiana,6548172,11.12,31.42,25.91,31.33
2004/01/01,Indiana,6478496,10.99,31.06,25.61,30.97
2003/01/01,Indiana,6468545,10.97,31,25.56,30.9
2002/01/01,Indiana,6510426,11.04,31.2,25.72,31.1
2001/01/01,Indiana,6517833,11.08,31.3,25.81,31.2
2000/01/01,Indiana,6512329,11,31,26,31
1999/01/01,Indiana,6467027,10.97,30.99,25.62,30.91
1998/01/01,Indiana,6443850,10.93,30.87,25.52,30.79
1997/01/01,Indiana,6510146,11.04,31.18,25.79,31.1
1996/01/01,Indiana,6508843,11.04,31.17,25.79,31.09
1995/01/01,Indiana,6488634,11,31.07,25.72,30.99
1994/01/01,Indiana,6482927,10.99,31.04,25.71,30.96
1993/01/01,Indiana,6488328,11,31.05,25.74,30.98
1992/01/01,Indiana,6466095,11,31,26,31
1991/01/01,Indiana,6467907,10.97,30.98,25.69,30.91
1990/01/01,Indiana,6431113,10.91,30.8,25.55,30.73
1989/01/01,Indiana,6462664,10.96,30.95,25.69,30.89
1988/01/01,Indiana,6453493,10.95,30.91,25.66,30.85
1987/01/01,Indiana,6431031,10.91,30.8,25.59,30.74
1986/01/01,Indiana,6475959,10.99,31.02,25.78,30.96
1985/01/01,Indiana,6453529,10.95,30.91,25.7,30.86
1984/01/01,Indiana,6405914,10.87,30.68,25.48,30.62
1983/01/01,Indiana,6434503,10.92,30.82,25.59,30.76
1982/01/01,Indiana,6415651,10.89,30.73,25.52,30.67
1981/01/01,Indiana,6399308,10.86,30.65,25.46,30.59
1980/01/01,Indiana,6428913,10.91,30.79,25.58,30.73
1979/01/01,Indiana,6452403,10.95,30.9,25.67,30.85
1978/01/01,Indiana,6407893,10.87,30.69,25.49,30.63
1977/01/01,Indiana,6355164,10.78,30.44,25.28,30.38
1976/01/01,Indiana,6353760,10.78,30.43,25.28,30.37
1975/01/01,Indiana,6414034,10.88,30.72,25.52,30.66
1974/01/01,Indiana,6398438,10.86,30.64,25.46,30.59
1973/01/01,Indiana,6359265,10.79,30.46,25.3,30.4
1972/01/01,Indiana,6417771,10.89,30.74,25.53,30.68
1971/01/01,Indiana,6386618,10.84,30.59,25.41,30.53
2016/01/01,Iowa,3134693,9.3,32,22.7,30.6
2015/01/01,Iowa,3121997,9.23,31.77,22.54,30.38
2014/01/01,Iowa,3108030,9.16,31.54,22.38,30.16
2013/01/01,Iowa,3091930,9.09,31.31,22.22,29.94
2012/01/01,Iowa,3076310,9.02,31.08,22.06,29.72
2011/01/01,Iowa,3065223,8.96,30.86,21.9,29.51
2010/01/01,Iowa,3050738,8.9,30.64,21.74,29.3
2009/01/01,Iowa,3083425,8.84,30.42,21.58,29.09
2008/01/01,Iowa,3085070,9.03,31.09,22.06,29.73
2007/01/01,Iowa,3060083,8.94,30.79,21.85,29.44
2006/01/01,Iowa,3083703,9,30.99,21.99,29.63
2005/01/01,Iowa,3081602,8.98,30.93,21.95,29.58
2004/01/01,Iowa,3048867,8.88,30.58,21.7,29.24
2003/01/01,Iowa,3044399,8.86,30.52,21.65,29.18
2002/01/01,Iowa,3064681,8.92,30.71,21.79,29.37
2001/01/01,Iowa,3067835,8.95,30.81,21.86,29.46
2000/01/01,Iowa,3065066,9,31,22,29
1999/01/01,Iowa,3043709,8.88,30.58,21.7,29.15
1998/01/01,Iowa,3032834,8.85,30.47,21.62,29.03
1997/01/01,Iowa,3064084,8.94,30.78,21.84,29.32
1996/01/01,Iowa,3063517,8.94,30.78,21.84,29.3
1995/01/01,Iowa,3054026,8.92,30.7,21.78,29.2
1994/01/01,Iowa,3051283,8.91,30.69,21.77,29.16
1993/01/01,Iowa,3053808,8.92,30.72,21.8,29.17
1992/01/01,Iowa,3043349,9,31,22,29
1991/01/01,Iowa,3044213,8.9,30.66,21.75,29.1
1990/01/01,Iowa,3026903,8.86,30.49,21.64,28.92
1989/01/01,Iowa,3041756,8.9,30.66,21.75,29.06
1988/01/01,Iowa,3037436,8.89,30.63,21.73,29.01
1987/01/01,Iowa,3026856,8.87,30.53,21.66,28.91
1986/01/01,Iowa,3048002,8.93,30.76,21.82,29.11
1985/01/01,Iowa,3037448,8.9,30.67,21.76,29.01
1984/01/01,Iowa,3015039,8.83,30.4,21.57,28.8
1983/01/01,Iowa,3028495,8.87,30.54,21.67,28.93
1982/01/01,Iowa,3019622,8.84,30.46,21.61,28.84
1981/01/01,Iowa,3011928,8.82,30.38,21.56,28.77
1980/01/01,Iowa,3025862,8.86,30.53,21.66,28.9
1979/01/01,Iowa,3036919,8.89,30.64,21.74,29.01
1978/01/01,Iowa,3015970,8.83,30.43,21.59,28.81
1977/01/01,Iowa,2991152,8.76,30.17,21.41,28.57
1976/01/01,Iowa,2990491,8.76,30.17,21.4,28.56
1975/01/01,Iowa,3018860,8.84,30.45,21.61,28.83
1974/01/01,Iowa,3011519,8.82,30.38,21.56,28.76
1973/01/01,Iowa,2993082,8.76,30.2,21.42,28.59
1972/01/01,Iowa,3020619,8.84,30.47,21.62,28.85
1971/01/01,Iowa,3005956,8.8,30.32,21.52,28.71
2016/01/01,Kansas,2907289,9.4,31.2,23.5,31.6
2015/01/01,Kansas,2906721,9.33,30.98,23.33,31.37
2014/01/01,Kansas,2899360,9.26,30.76,23.16,31.14
2013/01/01,Kansas,2892821,9.19,30.54,22.99,30.92
2012/01/01,Kansas,2885262,9.12,30.32,22.82,30.7
2011/01/01,Kansas,2869503,9.05,30.1,22.66,30.48
2010/01/01,Kansas,2858850,8.98,29.88,22.5,30.26
2009/01/01,Kansas,2879878,8.92,29.66,22.34,30.04
2008/01/01,Kansas,2884339,9.12,30.32,22.83,30.7
2007/01/01,Kansas,2862701,9.03,30.03,22.61,30.41
2006/01/01,Kansas,2885972,9.09,30.22,22.76,30.61
2005/01/01,Kansas,2884128,9.07,30.17,22.72,30.55
2004/01/01,Kansas,2852628,8.97,29.82,22.45,30.2
2003/01/01,Kansas,2848225,8.95,29.76,22.41,30.14
2002/01/01,Kansas,2866531,9.01,29.95,22.55,30.33
2001/01/01,Kansas,2870078,9.04,30.05,22.63,30.43
2000/01/01,Kansas,2867754,9,30,23,30
1999/01/01,Kansas,2847827,8.96,29.79,22.49,30.11
1998/01/01,Kansas,2837550,8.92,29.67,22.41,29.99
1997/01/01,Kansas,2866651,9.01,29.98,22.65,30.29
1996/01/01,Kansas,2866090,9.01,29.97,22.66,30.27
1995/01/01,Kansas,2857208,8.98,29.88,22.6,30.17
1994/01/01,Kansas,2854734,8.98,29.86,22.6,30.13
1993/01/01,Kansas,2857116,8.98,29.88,22.63,30.14
1992/01/01,Kansas,2847316,9,30,23,30
1991/01/01,Kansas,2848100,8.96,29.82,22.59,30.07
1990/01/01,Kansas,2831891,8.91,29.65,22.48,29.89
1989/01/01,Kansas,2845791,8.96,29.8,22.6,30.03
1988/01/01,Kansas,2841757,8.94,29.77,22.59,29.99
1987/01/01,Kansas,2831869,8.91,29.67,22.52,29.88
1986/01/01,Kansas,2851652,8.98,29.88,22.7,30.09
1985/01/01,Kansas,2841772,8.95,29.79,22.63,29.98
1984/01/01,Kansas,2820804,8.88,29.55,22.42,29.77
1983/01/01,Kansas,2833393,8.92,29.68,22.53,29.9
1982/01/01,Kansas,2825093,8.89,29.6,22.47,29.81
1981/01/01,Kansas,2817897,8.87,29.52,22.41,29.73
1980/01/01,Kansas,2830933,8.91,29.66,22.52,29.87
1979/01/01,Kansas,2841277,8.94,29.77,22.6,29.98
1978/01/01,Kansas,2821676,8.88,29.56,22.44,29.77
1977/01/01,Kansas,2798458,8.81,29.32,22.25,29.53
1976/01/01,Kansas,2797840,8.81,29.31,22.25,29.52
1975/01/01,Kansas,2824381,8.89,29.59,22.46,29.8
1974/01/01,Kansas,2817514,8.87,29.52,22.41,29.73
1973/01/01,Kansas,2800264,8.81,29.34,22.27,29.55
1972/01/01,Kansas,2826027,8.89,29.61,22.47,29.82
1971/01/01,Kansas,2812309,8.85,29.46,22.36,29.67
2016/01/01,Kentucky,4436974,13.1,34.2,29.8,39
2015/01/01,Kentucky,4424611,13.01,33.95,29.59,38.72
2014/01/01,Kentucky,4413057,12.92,33.71,29.38,38.44
2013/01/01,Kentucky,4400477,12.83,33.47,29.17,38.16
2012/01/01,Kentucky,4384799,12.74,33.23,28.96,37.89
2011/01/01,Kentucky,4369354,12.65,32.99,28.75,37.62
2010/01/01,Kentucky,4348662,12.56,32.75,28.54,37.35
2009/01/01,Kentucky,4383657,12.47,32.51,28.33,37.08
2008/01/01,Kentucky,4388792,12.74,33.23,28.96,37.89
2007/01/01,Kentucky,4355617,12.62,32.91,28.68,37.53
2006/01/01,Kentucky,4390786,12.7,33.13,28.87,37.77
2005/01/01,Kentucky,4388085,12.68,33.07,28.82,37.71
2004/01/01,Kentucky,4340868,12.53,32.68,28.48,37.27
2003/01/01,Kentucky,4333771,12.51,32.62,28.42,37.2
2002/01/01,Kentucky,4361806,12.59,32.83,28.61,37.43
2001/01/01,Kentucky,4366985,12.63,32.93,28.7,37.55
2000/01/01,Kentucky,4363432,13,33,29,38
1999/01/01,Kentucky,4333130,12.57,32.66,28.5,37.3
1998/01/01,Kentucky,4317547,12.53,32.54,28.4,37.17
1997/01/01,Kentucky,4361875,12.67,32.88,28.7,37.56
1996/01/01,Kentucky,4360974,12.68,32.88,28.7,37.57
1995/01/01,Kentucky,4347462,12.65,32.78,28.63,37.47
1994/01/01,Kentucky,4343675,12.66,32.76,28.62,37.46
1993/01/01,Kentucky,4347305,12.68,32.79,28.65,37.51
1992/01/01,Kentucky,4332402,13,33,29,37
1991/01/01,Kentucky,4333602,12.66,32.72,28.6,37.3
1990/01/01,Kentucky,4308940,12.6,32.54,28.45,37.08
1989/01/01,Kentucky,4330082,12.68,32.71,28.6,37.26
1988/01/01,Kentucky,4323944,12.67,32.68,28.58,37.2
1987/01/01,Kentucky,4308898,12.64,32.57,28.49,37.06
1986/01/01,Kentucky,4339000,12.74,32.81,28.71,37.31
1985/01/01,Kentucky,4323969,12.71,32.71,28.62,37.16
1984/01/01,Kentucky,4292064,12.58,32.44,28.37,36.92
1983/01/01,Kentucky,4311219,12.64,32.58,28.5,37.08
1982/01/01,Kentucky,4298589,12.61,32.49,28.42,36.97
1981/01/01,Kentucky,4287640,12.58,32.41,28.35,36.87
1980/01/01,Kentucky,4307476,12.64,32.56,28.49,37.04
1979/01/01,Kentucky,4323214,12.69,32.68,28.59,37.18
1978/01/01,Kentucky,4293391,12.6,32.46,28.39,36.92
1977/01/01,Kentucky,4258062,12.49,32.19,28.15,36.62
1976/01/01,Kentucky,4257122,12.49,32.18,28.15,36.61
1975/01/01,Kentucky,4297506,12.61,32.49,28.42,36.96
1974/01/01,Kentucky,4287057,12.58,32.41,28.35,36.87
1973/01/01,Kentucky,4260810,12.5,32.21,28.18,36.64
1972/01/01,Kentucky,4300010,12.62,32.51,28.43,36.98
1971/01/01,Kentucky,4279137,12.56,32.35,28.3,36.8
2016/01/01,Louisiana,4681666,12.1,35.5,29.1,39.3
2015/01/01,Louisiana,4668960,12.01,35.24,28.89,39.02
2014/01/01,Louisiana,4647880,11.92,34.99,28.68,38.74
2013/01/01,Louisiana,4626402,11.83,34.74,28.47,38.46
2012/01/01,Louisiana,4603429,11.74,34.49,28.27,38.18
2011/01/01,Louisiana,4575404,11.66,34.24,28.07,37.91
2010/01/01,Louisiana,4544996,11.58,33.99,27.87,37.64
2009/01/01,Louisiana,4607384,11.5,33.75,27.67,37.37
2008/01/01,Louisiana,4610175,11.75,34.49,28.27,38.18
2007/01/01,Louisiana,4572324,11.64,34.16,28,37.82
2006/01/01,Louisiana,4607056,11.71,34.38,28.18,38.07
2005/01/01,Louisiana,4602906,11.69,34.32,28.13,38
2004/01/01,Louisiana,4552815,11.56,33.92,27.81,37.56
2003/01/01,Louisiana,4546404,11.53,33.85,27.75,37.48
2002/01/01,Louisiana,4578244,11.61,34.07,27.93,37.72
2001/01/01,Louisiana,4582792,11.64,34.18,28.02,37.84
2000/01/01,Louisiana,4578421,12,34,28,38
1999/01/01,Louisiana,4546328,11.6,33.86,27.78,37.55
1998/01/01,Louisiana,4529945,11.56,33.73,27.67,37.41
1997/01/01,Louisiana,4576604,11.69,34.07,27.96,37.79
1996/01/01,Louisiana,4575909,11.7,34.06,27.95,37.79
1995/01/01,Louisiana,4561868,11.67,33.96,27.87,37.69
1994/01/01,Louisiana,4557706,11.68,33.93,27.85,37.67
1993/01/01,Louisiana,4561425,11.7,33.95,27.87,37.7
1992/01/01,Louisiana,4545777,12,34,28,38
1991/01/01,Louisiana,4547066,11.69,33.87,27.81,37.63
1990/01/01,Louisiana,4521228,11.63,33.68,27.66,37.42
1989/01/01,Louisiana,4543436,11.7,33.85,27.8,37.62
1988/01/01,Louisiana,4536987,11.69,33.81,27.77,37.58
1987/01/01,Louisiana,4521171,11.67,33.69,27.68,37.46
1986/01/01,Louisiana,4552749,11.76,33.93,27.88,37.74
1985/01/01,Louisiana,4536983,11.73,33.82,27.79,37.62
1984/01/01,Louisiana,4503514,11.61,33.56,27.56,37.3
1983/01/01,Louisiana,4523617,11.67,33.71,27.69,37.47
1982/01/01,Louisiana,4510365,11.64,33.61,27.61,37.37
1981/01/01,Louisiana,4498872,11.61,33.53,27.54,37.28
1980/01/01,Louisiana,4519682,11.67,33.68,27.67,37.45
1979/01/01,Louisiana,4536197,11.71,33.81,27.77,37.59
1978/01/01,Louisiana,4504906,11.63,33.57,27.58,37.33
1977/01/01,Louisiana,4467837,11.53,33.3,27.35,37.02
1976/01/01,Louisiana,4466851,11.53,33.29,27.34,37.01
1975/01/01,Louisiana,4509224,11.64,33.61,27.6,37.36
1974/01/01,Louisiana,4498260,11.61,33.52,27.54,37.27
1973/01/01,Louisiana,4470720,11.54,33.32,27.37,37.04
1972/01/01,Louisiana,4511851,11.65,33.63,27.62,37.38
1971/01/01,Louisiana,4489950,11.59,33.46,27.49,37.2
2016/01/01,Maine,1331479,10.6,29.9,20.6,34.1
2015/01/01,Maine,1329453,10.52,29.68,20.45,33.85
2014/01/01,Maine,1330719,10.44,29.47,20.3,33.61
2013/01/01,Maine,1329076,10.36,29.26,20.15,33.37
2012/01/01,Maine,1328895,10.29,29.05,20,33.13
2011/01/01,Maine,1328231,10.22,28.84,19.86,32.89
2010/01/01,Maine,1327730,10.15,28.63,19.72,32.65
2009/01/01,Maine,1325381,10.08,28.42,19.58,32.41
2008/01/01,Maine,1328365,10.29,29.05,20.01,33.13
2007/01/01,Maine,1319708,10.19,28.77,19.82,32.81
2006/01/01,Maine,1331280,10.26,28.96,19.94,33.02
2005/01/01,Maine,1331198,10.24,28.91,19.91,32.96
2004/01/01,Maine,1317059,10.12,28.57,19.68,32.58
2003/01/01,Maine,1314548,10.1,28.51,19.64,32.52
2002/01/01,Maine,1321816,10.17,28.7,19.77,32.72
