ID,Location,Batch,New_Alerts,Temperature,Flow,Conductivity,Ozone,Combo_Change,Plant
83,Ctrl RM 44,Phosphoric Acid,"3,22","2,10,6,13,5,22,28,23,22,31,4,2,26,22,0,7,31,23,8,11","1.0680302418535577,0.7317747504496948,6.525061737231445,6.391563015666325,4.1314806643594055,1.4508823188883253,0.8593575602769852,7.147496806140989,4.398875067478512,2.484991675512865,6.720058280935046,7.3755835180287255,3.19185713875806,5.717794356355443,3.9075374733819626,7.017782201573718,4.482673205230385,3.229203989065718,1.0118239570315928,5.688244702259545","61,147,161,187,82,125,189,99,181,126,117,180,76,173,42,202,23,66,123,159","0.5829839061480016,1.0602010554634036,1.0683498640777545,0.40399512480944394,1.2589773843297736,0.06226785930339247,0.34193927941378205,0.5930298711173236,0.7110022332286462,0.482963947346434,0.6553597007878125,0.0222966268658638,0.4357964881695807,1.0014173122821377,0.9868084699613974,1.0729163139592857,0.7624791531823576,0.5523507713340223,0.982632778538391,0.7863897119183093","-1,1,-1,1,-1,0,1,0,-1,0",Tokyo
84,Ctrl RM 24,Treated Water,"3,22","27,26,20,20,22,27,16,25,27,2,6,2,2,0,14,12,27,7,18,18","6.571043071434834,6.523059022435919,4.973553479497787,3.5521710605314003,3.738925269548781,4.571305074926932,5.67963404344162,0.17936007835436613,1.5604198265215383,3.1343261762615295,0.3901322428276762,6.265268901265227,5.3859663948533125,6.264329331500922,4.106824396988377,1.7894742361642422,4.934221005125437,7.2339409543923106,6.285511395777576,6.37800370011013","132,88,30,66,21,57,136,182,23,40,138,50,207,152,86,58,189,54,173,146","0.16746773736085743,0.6393096829298884,0.678071658872068,1.276591070741415,0.11642874216195197,0.3504815043183044,0.7900446127168834,0.8441011022077873,0.7573358811903745,0.29007728018332274,0.2531300560105592,0.09049345084931702,1.2738085664808751,1.1183652230072767,0.08986686423886568,1.128579687117599,0.08841232750564813,0.9010364807210863,0.32677664891816677,1.0999017369234936","1,0,0,0,0,-1,0,1,-1,0",Tokyo
85,Ctrl RM 28,Treated Water,"4,32","5,16,7,5,30,7,12,4,28,0,2,25,12,31,20,2,30,9,6,28","2.562670795854647,2.5078240994131193,1.5861803128593601,1.1690816574846394,2.298975697888527,6.336927787021268,4.002481163726189,2.8574046496953818,1.1601837024954147,1.5822212553862482,3.482151752002537,3.4665427430695854,2.899777216645889,6.7980427741468885,7.812484371846076,4.658839141889476,0.1901604379946366,6.1060118457488715,7.530933482162655,0.1781849999190308","58,202,192,126,21,209,204,141,162,204,115,120,187,188,166,0,45,68,109,130","0.622792969387956,0.03781984499655664,0.583687809901312,0.9397031185682864,1.1718281630892307,0.23337016433943064,0.7883929947856814,1.011428421852179,1.0187947794795036,0.2110852175857872,0.06929075340740383,0.6506375142605976,0.7557321260217578,0.5809791074600071,0.9780857628211379,0.5693209543591365,0.2038081045029685,1.0826116994023323,0.6872121053515002,0.8597334951395169","1,0,1,-1,-1,-1,-1,0,1,0",Tokyo
86,Ctrl RM 39,Dosing Station,"5,22","11,21,17,22,8,28,1,31,22,9,3,1,7,22,19,25,7,2,10,31","5.472969906893559,4.467321087450255,1.7435015412722714,7.8020889510936104,2.217492599806283,3.524858028169256,7.3067117031570525,3.644826510930434,2.7990326826018284,7.311024418023881,1.1865369118237867,2.8644950817734935,5.307979873896111,4.143094761932734,5.551318000892643,4.448398995604366,1.788225632426329,0.005043953328859061,2.032999832869973,3.2287442210596056","132,129,2,147,206,77,156,127,58,155,45,66,32,36,93,197,11,161,54,50","0.06560078230686486,1.1166488663991914,0.6083691567648203,1.2142950661480427,1.0120375986211003,0.5923719314159825,0.8557114385534078,0.6455423762323335,1.2328197689261289,0.8658687509596348,0.7732274688547477,0.10194911719299853,0.3335855580633506,1.2822948204353453,0.5219547867774964,0.2766337579581887,0.8206824551103636,0.20166126149706542,0.024444271065294742,0.07980420617386699","0,-1,-1,0,0,0,0,-1,0,1",Tokyo
87,Ctrl RM 31,Dosing Station,"4,22","8,7,17,26,28,30,27,10,19,21,29,21,25,2,25,6,25,25,2,6","5.571259404984303,3.522306419447996,2.4378304446535184,3.768302077886183,3.532094482097309,6.9520626824302605,3.86294972112868,4.027462666570209,6.582973599601537,7.8394907942274585,6.3805683570937255,6.7170667147217324,5.270964269745164,2.4247564764600247,1.8868821431254037,1.729259420603048,6.3467110798181965,4.705184194080066,6.73748977344716,5.964268637110945","52,52,198,198,91,46,52,112,145,89,127,99,163,170,189,165,113,15,191,191","0.5117524549830705,0.9652215062407777,1.1305834364145995,0.54881920106709,0.657039103214629,0.5594255901640282,0.6896315300138668,0.33121264076326046,0.1471920544281602,1.0164091671817006,0.12362596895545722,1.2035173980984837,0.33886609838809817,0.10355321106035263,0.9885105709545314,1.233055612212047,0.7593318189261481,1.0427688059397042,0.06826367385219782,0.686480236100033","0,0,0,1,0,0,0,0,0,0",Tokyo
88,Ctrl RM 12,Sugar Syrup,"5,22","25,14,22,15,28,12,5,6,13,22,19,14,15,31,9,18,9,9,27,27","2.828149798149243,7.184580856929533,1.411104633489158,3.402037642481737,6.445188267135527,4.007332276611123,7.425536489167716,3.913980686347932,7.161563093382865,5.09726089960197,0.4262829707958736,3.6840565934637564,4.0385682856012135,1.1551501408964395,4.70700292912079,7.496571664635558,6.7653180763684215,4.465064770542085,4.726239991211332,5.880353963531088","169,30,175,186,157,111,185,15,2,162,96,86,91,64,187,99,67,137,115,171","1.1875682452693581,1.2567796995863318,0.43768123677000403,1.164403566531837,1.283711826079525,1.0572465173667298,0.0970311164855957,0.6272489093476906,0.6719881443539635,1.0366078807506711,0.7524762065848336,0.1321156220044941,0.32111188529524953,0.2329598270356655,1.2418380259769037,0.7662228814326227,0.14752601562067866,0.7284545537550002,0.7645534253679216,1.224651416274719","-1,-1,-1,0,-1,-1,-1,1,0,1",Tokyo
89,Ctrl RM 45,Dosing Station,"4,22","22,13,1,5,24,2,17,17,28,28,1,21,12,23,4,6,14,6,14,15","0.8763009744812734,4.933703364522662,4.670161766880192,2.2535514076589607,1.5522642811969853,2.4607074101199395,3.066124782373663,6.22639225846855,7.306392433720175,7.627243746377062,5.974601329839788,2.920129531242419,1.8613333013141529,2.82883216236718,3.435920856294688,5.809935979801231,7.730510563107673,3.488894438773859,7.139550656219945,0.5557948529161513","201,73,9,92,26,19,63,135,186,0,48,25,44,185,91,40,101,99,188,158","0.39987225162331014,0.9139215528964997,0.6354736890876665,0.532585209258832,0.37814453057944775,0.9240785565692932,0.38961714578326795,1.2112735274480657,1.222060934221372,0.785265591996722,0.835903828800656,0.05487449809443206,0.8701389829162508,0.47531347929034384,1.0786616954486818,0.5071250075474382,0.9621413877932355,1.128066247375682,1.0138177235145123,0.8103478909702971","0,-1,0,0,1,-1,1,0,0,0",Tokyo
90,Ctrl RM 34,Sugar Syrup,"2,22","16,26,23,5,27,4,25,15,21,10,27,16,7,23,22,3,28,31,31,8","5.447316122748889,0.9933060915721581,0.9986810343340039,5.042025344851427,4.121747838237789,7.655445749745704,6.635911891870201,0.46051771752070636,0.658542708219029,5.979353723151144,6.978886706326157,6.062183368792757,2.756938342778012,3.758759485904593,3.712447500845883,1.410528052467853,2.877568782081362,0.3122031982196495,2.4347288965084593,1.1380128054041416","117,7,112,99,8,13,25,203,174,206,93,0,25,26,131,202,34,93,38,186","0.7511093973647803,0.10451909904368221,0.7543732470134273,0.372952428762801,0.015985622722655534,0.3433183853048831,1.2002151417080313,0.19621206887532025,0.0720175815280527,1.0088561105774716,0.18140617199242115,0.19778673620894552,0.23060810004826635,1.0056506654247641,0.5042837631190196,0.05435572513379157,1.1164288523606956,0.3353714005788788,0.25451079667545856,0.7493389703333379","1,-1,-1,-1,1,1,1,0,1,0",Tokyo
91,Ctrl RM 34,Mixing Tank,"7,22","5,27,4,24,14,22,28,23,3,11,16,25,11,28,15,20,1,25,28,21","4.007600467328448,5.4560631223279055,7.857117932541296,4.105504554277286,1.0490124906552956,6.591470248901751,5.544509267292451,1.1175915511860512,7.606226162014064,2.2791824940778316,6.895617382240016,1.7235226517962292,5.074898321044166,6.98820418694755,1.0445481711276807,1.2519987901067362,6.7032816199515945,4.426935803967062,0.18506654632044955,0.4437860371381976","59,106,197,25,116,181,148,144,170,0,209,143,46,72,79,166,183,126,119,167","0.09101785183884203,0.5537019307957962,1.0704728598473594,0.018219195911660793,0.4034091393696144,0.7665986251551659,0.6078879938926548,0.3168597647920251,0.8681263799313456,0.656475202809088,1.006213899026625,0.4778474800754339,0.12202724674716592,1.2997636648593471,0.368830338306725,1.1904045635834337,0.644200625573285,0.954999861959368,1.1055662414524705,0.11036779182031752","0,0,1,0,0,1,1,0,-1,1",Tokyo
92,Ctrl RM 23,Phosphoric Acid,"3,22","13,25,24,19,13,15,23,30,11,23,7,3,30,1,23,21,25,22,9,31","2.756337287428323,2.0234698426746762,4.780994051315356,6.755287636758294,0.8846353111369536,4.812416052923072,2.4243578180018814,4.086620537536219,2.4920799719472417,4.290108389570378,6.417545778241474,4.099351744211744,2.080900519210845,3.078646448540967,2.324124552975409,5.569579529573676,0.34879009979544207,5.796265586586669,4.555257920450531,7.659971463449765","96,110,206,157,88,99,44,102,199,135,73,167,16,125,183,208,198,58,85,165","0.7541707947617396,0.8429110516561196,0.9371404885081575,0.31813385409768674,1.1871592203853651,1.2490084356395528,0.27097230474464595,0.2309706018306315,1.2469563202233986,0.16497361161746085,0.7991841883864254,0.8059129603207111,0.16348225690890103,0.15042619151063263,0.8550346073927358,0.16293579055927696,0.44482814394868914,0.6471832096809521,0.03431738405488432,0.23087039664387704","1,0,-1,-1,1,-1,0,0,0,-1",Tokyo
93,Ctrl RM 18,Carbonator,"3,22","30,27,16,18,25,2,7,21,21,11,6,18,30,2,20,0,0,16,16,20","2.3731558710616083,6.308959281321149,6.093889989575837,7.704844409716316,7.952058067820035,4.347252153160516,6.013237100671977,7.624738719989546,2.9916779755684546,3.8147817891114393,3.2287760454998353,3.093494989713654,1.5372481794259512,3.344682029730175,0.9863136014551855,2.0663256064616142,3.781365073930938,6.190374063192867,4.432788552367128,0.5102208164823242","86,58,74,199,19,30,142,63,134,205,14,96,77,144,187,161,33,103,76,3","0.04678446596954018,0.329032369190827,1.0179616447538138,0.22617204100824892,1.001771780033596,1.0685497768456116,0.6376934864092618,0.8530956600327045,0.071181954536587,0.47942338809370993,0.32786678182892504,0.8953727816231549,0.028646579547785222,1.2376840049168096,0.7844296592986212,0.5113908884814009,1.1627127073705197,0.09199775995220989,0.32021702688653025,1.0103565244935453","1,0,0,-1,-1,1,-1,-1,0,-1",Tokyo
94,Ctrl RM 9,Concentrate,"5,22","3,2,10,9,8,23,0,11,25,26,15,10,15,9,31,19,12,20,26,12","4.126494631995447,5.098860643724911,1.377484293607995,4.684897342172917,2.2959115700167603,7.500832526891027,3.3562814642861487,5.579302713673096,5.43791123328032,0.34445533831370995,7.7708979859552345,6.141126797667239,7.503974205791019,2.862032571067102,6.618061787141487,2.878937677626964,4.888672365737148,4.571722673270852,0.3868584684096277,1.7495719225588255","93,175,68,90,46,164,45,20,11,123,178,163,33,128,16,94,178,65,137,144","0.15470611134078355,1.1326534299179911,0.95823713329155,0.014359336369670928,0.34018199595157056,1.03271144235041,1.1320827349554747,0.9868447231361643,0.013293161173351109,0.4896977937081829,0.5616165445186198,0.09515674526337535,0.31437338704708967,1.21229413934052,0.8795682915952057,0.49463101739529525,0.3501683405600488,0.9700497481506318,1.1393064870964735,0.8179832422873006","-1,-1,0,-1,1,0,0,1,-1,1",Tokyo
95,Ctrl RM 34,Sugar Syrup,"6,32","11,10,19,20,12,8,22,15,11,29,9,7,17,13,4,8,9,28,30,6","7.139032076157164,5.515829024831764,4.910086288743187,3.805132524701767,7.794029496714939,1.5367920967075044,0.46470358854392546,7.206162014978473,6.838049434784335,2.455471163280308,3.999371818993241,3.3313862466579303,6.472886078131851,4.376524203335866,0.2612147691450082,4.920655790504534,1.4553085800539702,3.76278425720986,7.8949136996269225,2.1249448078032582","153,206,133,186,112,126,162,127,49,187,136,16,97,155,90,116,25,157,209,49","1.0550433719763532,0.33437982415780426,1.2532557553378865,0.7231533718761057,1.1550828657345846,1.2783049701945857,0.48547241769265387,1.0753173011820765,0.8129560101777316,0.6524105080170557,0.1418535500066355,0.23106908628251405,0.9407784092705697,0.27288358111400157,0.2570248932344839,0.24734498623292894,1.171995506901294,0.50945904168766,0.44805855019949375,0.7759205300128088","1,1,0,0,1,0,1,1,0,-1",Tokyo
96,Ctrl RM 29,Carbon filter,"8,22","18,15,31,18,3,22,26,25,20,23,4,7,20,31,22,23,23,5,1,13","2.3504064470576123,7.284617808300537,2.1634232181543487,7.5366338650323454,2.0514399668504484,0.9209071513125673,6.46030690771062,2.1976415010751227,3.1782065579178744,1.3631108996807597,7.084517397903838,4.069997341530398,7.37490124124568,6.613984158653766,3.9905681299790743,0.7604528014571407,4.690120953740553,3.996404773616232,0.2896403639949858,0.19835833901306615","172,90,189,188,181,52,174,175,170,188,149,152,89,102,12,52,166,94,33,132","0.06617929306812585,0.23599771831650287,0.19796152049675583,0.36139066526666286,1.1690727138658985,0.6738778435857967,0.808864800632,0.15940550456289201,1.185531787783839,0.8261680976487696,1.047567681851797,0.7725200730841607,1.104458346986212,0.5407911853166297,0.04249849496409297,0.703991351579316,0.5725870895432309,0.1491089073708281,0.05251187190879136,0.3161102816928178","1,-1,0,1,0,1,0,1,0,1",Tokyo
97,Ctrl RM 43,Chlorine,"9,22","6,22,26,1,27,3,26,17,31,25,24,30,10,22,21,11,29,23,7,16","2.002205868647434,5.592037968398072,6.517512950988021,1.3483231443609112,6.920003557649907,7.753613205470611,5.548554911352694,6.69007213511737,2.9583765200385823,3.288333670650609,4.862454198668711,2.54976202565711,3.2922191600338557,5.041662677943241,7.8739739602222105,2.642062605735846,5.193469916072209,6.479028533673845,7.065824547321536,7.980783863859251","149,141,203,76,15,49,32,5,53,144,182,108,40,86,103,25,65,165,136,170","1.2881815446307883,1.211931818863377,1.2289189380360768,1.0188082314794884,1.0671200056793169,0.4140141119249165,1.0913536781677977,0.5055662312079221,0.23600382518488913,0.44581059578340504,0.9550410815048963,1.1603231323882939,0.008968659932725132,0.6209862471092492,0.2891506446292624,0.8095620802370832,0.9090148276183755,0.4333585982210934,1.001661154185422,0.11877486049197615","-1,0,-1,1,1,0,-1,0,-1,-1",Tokyo
98,Ctrl RM 26,Sterilization,"9,44","19,6,0,4,28,26,13,5,5,8,17,31,31,6,19,29,26,4,20,29","5.0104248737473975,7.241748799057677,7.147896177100484,5.5406765811424705,5.529073643609881,3.393524674482178,4.875849616590422,6.5013379313540645,0.7398769139824435,3.443589482288808,0.9437273547914811,3.1476003312901595,3.9344615283748134,2.9039369520777836,0.5060673224134371,1.8300329718692228,1.6727099203458056,0.37488355494337156,1.343748833599966,7.962083754320629","206,158,67,26,17,149,46,99,10,77,18,102,56,18,96,39,27,60,91,59","0.9286750425817445,0.07651041694916785,0.188573700748384,0.5050089146941901,1.293422800139524,1.2183605400379747,0.9317121520405636,1.0967263972153887,0.6307951901573688,0.46915222690440717,1.1104776564519854,0.26950675712432715,0.48617848015855997,0.9062381814233958,0.2843532579019666,0.3039318355731666,0.9526060936506838,0.01367318811826408,0.10369328099768609,0.738404058595188","1,-1,-1,1,-1,1,0,0,0,1",Tokyo
99,Ctrl RM 6,Sterilization,"7,22","28,22,7,30,11,8,30,9,28,0,25,30,20,7,13,19,8,12,8,31","7.314493583380245,6.9671911585005,5.586450763484463,1.7382171401311644,6.384821138132829,4.709433235882316,0.20294761230237782,7.978113684123382,5.851191346494016,7.628357666896191,5.7682993318699305,7.228269008325879,7.166071046642028,5.942467745877803,3.275405460142065,0.1950725153228268,6.349935909300111,1.1764443785580807,3.7566653179330753,6.098864344730973","189,124,67,34,171,80,190,69,41,117,183,39,53,133,189,155,0,204,201,171","0.23956394633278252,0.5437346889171749,0.1878548978827894,0.36857461985200646,0.12986191092059016,1.0045798120088876,1.1474915264872834,0.07058569765649736,0.7455035028513521,0.15404159682802857,0.7499345713062212,1.2343335531186312,0.7580292080994696,0.17684923382475973,0.38976262672804296,0.7231068333378062,0.5013142526615412,0.3950530480360612,0.4060067053418607,0.845772314723581","0,1,0,-1,1,-1,0,0,-1,1",Tokyo
100,Ctrl RM 9,Treated Water,"5,22","20,31,30,0,12,4,29,1,17,10,12,1,31,13,12,20,7,14,28,27","7.289395196828991,4.277746985978447,1.3390031430101954,2.1739700575359167,4.797060860039201,2.537374350670725,3.460467517517973,0.7280897976411507,3.9821800078428353,6.044993665381335,4.754656812807079,2.263686934707221,0.16567066153977067,1.6825613974756561,4.967236546699423,6.148356219597627,0.1858312816475518,1.0051945430925115,3.766886534895748,4.567846120849717","57,24,36,126,49,176,159,154,104,34,53,94,123,183,170,84,63,156,29,15","1.0406628640601412,0.38373996175359937,0.010543518257327378,0.916217082226649,0.9824478341965005,0.8916341353673488,0.33134739624802023,0.7611466760281473,0.4007161808200181,0.9857578927651048,0.867439183802344,0.06716174248140305,1.1209535654168576,1.1424608580535278,0.5030256162630394,1.298246841155924,0.01712065818719566,0.49857193459756677,0.1968954003881663,1.209529645438306","-1,1,-1,1,-1,0,1,-1,0,1",Tokyo
101,Ctrl RM 19,Flavour,"4,22","5,9,4,29,11,9,0,14,3,4,5,3,18,20,4,0,21,23,0,1","7.334327016542666,4.642239689107519,2.1744182729744352,0.7191286476887763,1.8228645404265262,7.529481313254219,7.595919268159196,6.3061857907497325,1.2549074271158316,5.983704583814833,5.266593278592918,7.542578855382745,0.9335330882389099,6.894236589968204,7.315519349065144,2.472167384163477,6.521768582032528,5.529579281448386,2.512753743713256,4.284123988407664","98,20,193,59,111,154,15,161,83,24,180,44,9,75,101,156,45,40,105,137","0.28004946510773154,1.241790464683436,0.6261202764697373,1.1177762407343834,1.1245283480733634,0.5683699152432382,0.18646089953836054,0.3158465301152319,0.9304182033054531,1.0209730548784137,0.23199356070253999,0.8033342382870615,0.7102729025529698,0.7682691018562764,1.2809668532107026,1.03386893090792,1.2960919868201017,0.9833087912527845,0.13924005944281817,1.1177864162251354","-1,-1,0,0,0,1,1,-1,1,-1",Tokyo
102,Ctrl RM 8,Carbonator,"7,22","31,14,21,28,17,4,1,0,4,23,5,11,6,0,13,12,19,5,28,0","1.3076812283089385,2.383223407249898,4.773995221238583,5.729117145054042,0.4973506236751564,3.0141899319877847,2.661774407662451,5.524628061193507,7.301098180341069,5.182732729071286,3.985650754468516,3.4360394570743664,2.979756475519389,7.188517203654628,6.4134547108248805,4.300322310370393,3.7124256718880497,1.7160746351955458,0.0014913378795608878,7.114159161867574","127,168,80,98,83,124,98,161,39,170,97,127,93,35,1,126,106,119,140,53","0.2832164690131322,0.22328044457826765,0.8540511869825423,1.237377182301134,0.650031951488927,0.7813464967999607,0.9133159659104422,0.9506610978394747,1.290816873847507,0.30317089119926094,0.9537259203614668,0.7798903943039477,0.8513312859926373,1.1847760809818284,0.6498471566708759,0.6516811873298138,0.21654779803939164,0.028728183847852053,1.188102119229734,0.452408383321017","0,-1,1,0,-1,0,1,1,-1,-1",Tokyo
103,Ctrl RM 15,Carbon filter,"1,22","27,0,26,28,22,20,1,8,16,13,24,8,3,9,12,23,30,16,22,9","3.9158030490064997,2.6834796767495575,1.3206552193546668,4.348075428938028,1.8627636654488744,5.273230894668959,5.42270917423768,4.064835656189826,4.3888986217044295,6.68763173241634,0.05059707794105634,4.590766558200121,5.647318872092292,4.288621884793975,2.05138368296437,2.571577049717307,1.500931979995221,6.738791483649984,5.795679266806692,1.6040274894493634","55,174,74,182,127,60,21,18,178,65,179,112,71,83,47,136,105,109,133,25","0.5586031197570265,0.4075508813140914,0.9380021523218602,0.405839376966469,0.4853784843347967,0.2498214039951563,0.667411769903265,0.42380629074759785,0.4322867105482146,0.12800359716638923,1.0072386760963128,0.6130313303554431,0.5858088966691867,0.9974617568776012,0.7381977305281907,1.2104072072077543,0.35204098317772153,0.8404430205468089,0.043714490020647645,0.10632269070483745","0,0,1,1,-1,-1,1,-1,-1,1",Tokyo
104,Ctrl RM 22,Mixing Tank,"8,22","5,1,22,22,9,26,2,1,10,8,30,18,20,24,22,15,7,30,7,31","5.8915562278823925,6.285233174231835,4.596305238609203,0.7643728908733465,5.441499622622505,0.49645064517389986,3.261761892696377,3.6792398908594626,5.638185099619441,1.3162244897079654,3.556549128328916,4.134212770322338,3.1294170289323664,5.32496642512735,7.570051579202991,0.3511341176205315,1.188285970557481,6.10894280097913,4.406159123193938,0.6697421597712674","99,137,150,70,22,192,166,180,126,1,169,22,146,187,140,184,22,132,189,101","0.05527972041163594,0.8252192880725489,0.31000692893285303,0.190894718747586,0.6366583243943751,1.2246874000644312,0.49439940648153424,0.844835978280753,0.42389218038879334,0.8657113365596161,0.9502637730445713,0.16396828051656484,0.3651813993928954,0.8164724419126287,0.7850568361347542,0.34043465431313963,0.6008038219530135,0.14330739874858409,0.43524082731455566,0.03634526086971164","-1,-1,1,1,1,1,1,-1,-1,1",Tokyo
105,Ctrl RM 32,Treated Water,"4,22","31,30,19,16,15,10,17,9,0,12,18,7,22,5,2,2,16,27,12,7","7.385337613152806,0.8029908175463788,5.579639258012175,1.5391852994496003,4.951857874756679,5.453352476980072,0.6048224001401105,2.6510324508091436,7.033943036291748,3.978359337479342,5.7097082789824345,2.5075694611039943,2.337072075433098,3.608205377664417,6.142705732285976,7.819088980320376,4.493880351053085,6.344329777522944,4.011259066888597,7.778327416130342","163,110,31,71,19,28,114,65,133,153,73,92,6,136,157,58,199,163,196,85","0.8112635955447332,0.13302377108484506,0.2875526721589267,0.3676715016132221,0.9861221957951785,1.0487729747546837,0.09603686165064573,0.35584100321866574,1.178396940883249,0.8371611417736858,0.4099277382949367,0.6950684280833229,0.41342003827448937,0.9814897408243269,0.5080451587913558,0.8406408085022122,0.965041019464843,0.48279356795828793,0.6986677886452526,0.5877701303455979","0,-1,-1,1,-1,-1,-1,1,1,1",Tokyo
106,Ctrl RM 22,Sterilization,"1,22","27,1,17,2,30,29,8,2,25,14,10,7,26,16,4,31,23,10,12,20","3.4973624484962786,3.0688001523935236,2.0991209646547215,2.90654337875545,2.7485353864752686,2.5934462220198475,6.196035505910404,3.352762436857447,1.975143750240095,5.528362935604528,2.8162251132377425,4.685369987292216,5.156169981095009,2.715670191987883,1.4049421441950836,2.725107752340846,7.2785406349971895,0.7359642490907572,3.4723558946256525,1.9651459182635882","23,151,166,2,200,124,50,161,196,9,82,18,177,125,5,171,111,196,80,146","0.8457074670819565,0.24319658381864429,0.3375020099570975,0.9618710011709481,0.5990551821189002,0.9605594643158838,0.4466191190062091,0.23040167724248023,0.31271044313907626,0.788625438977033,0.756169141526334,1.1921465480932967,0.9626578945899382,1.0811438565608114,0.1486510012065992,0.3727357935393229,0.7076336212456227,0.49210973370354627,0.7198990233475343,0.059140505245886744","0,1,0,1,1,0,-1,-1,1,0",Tokyo
107,Ctrl RM 15,Chlorine,"6,22","4,2,2,28,13,26,14,13,2,28,24,7,14,28,22,1,28,11,10,30","3.547390548530966,2.041910125480499,6.660797525146045,5.897978222074453,3.8110023526707666,0.975734070725739,6.222284234263935,4.69321622145595,7.896811070260592,6.337448526911904,1.219012464808766,2.724336636126973,7.583452710157726,7.283540245813783,4.500831962567754,7.271249867258594,2.967094454027247,4.025639131912031,2.3900194776733406,3.029158606841229","191,50,48,5,128,25,5,75,94,172,189,168,32,5,88,109,65,188,206,173","1.1712510316399858,0.5699831878766418,0.5460842771688477,0.5408791138092056,0.06085172113962472,0.4368909182259813,1.0564551497343928,0.18601557093206794,0.05785585029516369,0.003467686357907951,0.23255169233307244,1.2626609495142476,1.1654592817183584,0.3157088225940243,0.24935655253939332,1.1717118514003233,0.643930189916864,0.5111209779744968,1.2168095107888803,0.4904459295794368","-1,-1,-1,1,1,1,1,-1,1,1",Tokyo
108,Ctrl RM 12,Sterilization,"8,22","14,31,9,24,30,1,22,1,12,10,27,4,24,13,19,1,10,3,23,25","2.294977519812528,2.469333358881995,3.8945653054467404,6.824638998524752,0.1780058421054855,0.5673646172787994,6.232135330028832,2.003994961399585,4.693445756649599,6.541643370038364,6.37236965241842,3.117037703047972,2.285495330458507,7.026409294430632,3.97727918171091,5.090886118391063,7.439686473924667,0.017575763803906738,6.040230640359223,2.5183412388362925","110,151,192,48,102,202,93,3,81,171,150,107,38,1,189,71,1,160,69,204","0.5071777216624469,0.7969999105436728,0.9323170446790755,0.19233760836068542,1.2210024728206919,0.3438525879755616,0.8799544892739505,0.9380753590725363,1.0056605642661454,0.903381493058987,0.27746068108826877,0.6358218275010586,0.37354007954709234,1.1490988962585107,0.6145779383601621,0.6657804917544127,0.29628053908236324,0.9346474766265601,1.2098277871962637,1.2961940513690935","1,1,-1,1,0,0,0,1,0,1",Tokyo
109,Ctrl RM 19,Chlorine,"9,22","13,23,25,2,14,9,17,1,17,24,0,19,28,21,25,11,20,2,14,28","4.162205281550996,0.4944819332496263,5.818042654602323,4.432037451302167,5.217102938487661,6.463715192337986,2.982078699732665,6.642861778871157,7.043356278582942,1.722792896006722,2.0852801794395783,7.6791399151948285,5.486439724466764,5.625199276958592,3.975008838013746,3.071341523791198,4.622136495120357,7.145567227841821,6.316649392114487,5.098107033092528","159,140,164,86,156,181,198,149,38,193,156,141,154,118,115,97,124,109,11,13","0.28255591839551925,0.8239497534930706,0.3049257544334978,0.9569738832535223,0.14747217039112,1.2360634007724003,0.518164697359316,0.5839660519734026,1.0773268413497135,0.8351298788795248,0.21964188364800066,0.13213433760683985,0.7538455631583929,0.8218774257227779,0.2708287467248738,0.05667693926952779,0.9846693707164378,0.6400482753058896,0.9723774811020122,0.0027959886472672226","0,0,0,-1,1,0,1,-1,-1,-1",Tokyo
110,Ctrl RM 3,Sterilization,"9,22","29,5,30,7,4,25,21,20,9,29,14,19,27,0,9,28,31,27,5,25","3.022711195140146,1.159399376171641,2.085204818004277,7.361369876950048,0.5777141086687334,1.8841614576475696,5.3994124412979,4.2023001267877405,6.8306809076620265,5.473358940072358,5.761501782494597,1.300764521919191,6.4947294403985145,3.0256574235716838,6.249420127256308,4.209834627658129,7.105099614176433,3.831601938721724,4.319481291242409,6.762744238721207","116,14,198,40,117,139,195,150,205,37,6,111,21,34,20,125,90,12,35,176","0.5151229677954688,0.7883629453368485,0.43703357940539717,0.10017468510195614,1.1772940406342969,0.6596520904218778,0.21387178108561786,1.1333102820906789,0.4915851232595742,0.6600183681352064,0.7603755153017119,0.5861647361656651,1.2805754073662683,0.5644756503868849,0.8412292398978025,0.8968486433615909,0.7182137135183438,0.35417784682940695,1.0294089671224356,0.873395957192406","-1,1,0,-1,1,-1,0,0,1,1",Tokyo
111,Ctrl RM 16,Phosphoric Acid,"4,22","22,11,9,29,11,24,7,3,16,14,27,3,10,5,17,16,7,0,23,22","3.9021840972732753,1.0514442391623744,0.7402454632124864,5.900926539641805,4.773331428563688,1.1576058707479389,7.375078309923411,5.995342504605651,1.9577567546465435,6.200059607501608,7.911089550822508,7.1871661392459645,3.0491494655958378,1.107926544775255,1.691661905623041,7.9570164130884224,1.9793568339780905,6.076757792278658,5.467998081769329,6.7705769428005445","53,6,30,63,98,87,196,186,201,70,27,3,197,98,187,72,205,187,3,67","0.39161872668191794,1.149316654424183,0.8914459584048018,0.8921278679277748,0.41332470744382593,0.026005048723891377,0.19916763214860111,0.776227978267707,1.2591047066031025,0.2055663047824055,0.43833827902562916,0.07140200277790427,0.5121048424160108,1.160472703143023,0.42578362124040725,0.5103846311802045,1.2604349496774376,1.0889077036408707,0.4830923414090648,0.06854985884856434","0,1,0,0,-1,-1,1,-1,0,0",Tokyo
